"Climate.Model","Beta.Delta.Temp","Intercept","AdjR.squared","Intercept.P.value","Beta.P.value","CO2.base","CO2.Disaster","Delta.Temp.Disaster"
"MRI-ESM1",4.26373432812508,-24.151831261022,0.979410329313605,3.21347377244259e-206,2.42412179910495e-211,288.437510195846,1674.88515402372,7.5
"MIROC5",4.12157110802728,-23.3900966472781,0.939425532693375,0,0,291.501111984029,1798.55393822845,7.5
"MPI-ESM-LR",4.67351704916692,-26.4330393008659,0.978766996415698,0,0,285.979508867601,1423.26283843566,7.5
"MPI-ESM-MR",4.66520988001848,-26.3843818524617,0.982945323474725,0,0,285.87698611251,1426.82405549419,7.5
"NorESM1-M",4.12546004261619,-23.4138805583633,0.972015436674966,0,0,291.622249374903,1796.2175385183,7.5
"NorESM1-ME",4.33692843015528,-24.5445742697189,0.967789601642619,0,0,286.987092570406,1617.71793134269,7.5
"MIROC-ESM",5.93153651183247,-33.5535326259666,0.973255293152591,0,0,286.232050375046,1013.56662748463,7.5
"MIROC-ESM-CHEM",6.1303318741518,-34.6656010237397,0.972533563646255,0,0,285.650041682531,970.869656973546,7.5
"bcc-csm1-1",4.99705304060367,-28.3226060522239,0.974099581912391,0,0,289.415045708569,1298.21615329774,7.5
"GFDL-ESM2G",3.18979901359917,-18.1193860649385,0.93201758653339,0,0,293.071387590348,3076.84974421639,7.5
"GFDL-ESM2M",3.29082891420314,-18.6019641773852,0.963650893925111,0,0,285.051044457284,2784.23747408492,7.5
"GFDL-CM3",6.11039467399696,-34.8107589328359,0.948806300861219,0,0,297.964363224891,1016.77437355415,7.5
